time,current mc,min energy,most consume,queue length
1,"(0.0, 0.0)",1.0,0.0,0
101,"(0.0, 0.0)",0.9959174269999955,0.0,0
201,"(0.0, 0.0)",0.9920966719999913,0.0,0
301,"(0.0, 0.0)",0.9878730889999867,0.0,0
401,"(0.0, 0.0)",0.9839339754999824,0.0,0
501,"(0.0, 0.0)",0.9798287509999779,0.0,0
601,"(0.0, 0.0)",0.9756353699999734,0.0,0
701,"(0.0, 0.0)",0.9717239079999691,0.0,0
801,"(0.0, 0.0)",0.9676613349999648,0.0,0
901,"(0.0, 0.0)",0.9636768174999605,0.0,0
1001,"(0.0, 0.0)",0.9596293454999562,0.0,0
1101,"(0.0, 0.0)",0.9551187424999513,0.0,0
1201,"(0.0, 0.0)",0.9509582149999467,0.0,0
1301,"(0.0, 0.0)",0.9467698339999422,0.0,0
1401,"(0.0, 0.0)",0.9426719579999379,0.0,0
1501,"(0.0, 0.0)",0.9385189809999332,0.0,0
1601,"(0.0, 0.0)",0.9343885544999287,0.0,0
1701,"(0.0, 0.0)",0.9304494409999244,0.0,0
1801,"(0.0, 0.0)",0.9262511609999198,0.0,0
1901,"(0.0, 0.0)",0.9224931584999158,0.0,0
2001,"(0.0, 0.0)",0.9184608884999114,0.0,0
2101,"(0.0, 0.0)",0.9145116739999071,0.0,0
2201,"(0.0, 0.0)",0.9104189999999026,0.0,0
2301,"(0.0, 0.0)",0.9063288764998981,0.0,0
2401,"(0.0, 0.0)",0.9022108994998937,0.0,0
2501,"(0.0, 0.0)",0.8980476194998893,0.0,0
2601,"(0.0, 0.0)",0.8943121674998854,0.0,0
2701,"(0.0, 0.0)",0.8901439884998809,0.0,0
2801,"(0.0, 0.0)",0.8861042689998764,0.0,0
2901,"(0.0, 0.0)",0.8821095494998722,0.0,0
3001,"(0.0, 0.0)",0.8781175824998678,0.0,0
3101,"(0.0, 0.0)",0.8742918274998636,0.0,0
3201,"(0.0, 0.0)",0.8703701634998594,0.0,0
3301,"(0.0, 0.0)",0.8660811764998547,0.0,0
3401,"(0.0, 0.0)",0.8619179974998502,0.0,0
3501,"(0.0, 0.0)",0.8574930004998454,0.0,0
3601,"(0.0, 0.0)",0.8534000234998412,0.0,0
3701,"(0.0, 0.0)",0.8495111119998371,0.0,0
3801,"(0.0, 0.0)",0.8454586399998327,0.0,0
3901,"(0.0, 0.0)",0.8414087184998283,0.0,0
4001,"(0.0, 0.0)",0.837388998999824,0.0,0
4101,"(0.0, 0.0)",0.8333389764998197,0.0,0
4201,"(0.0, 0.0)",0.8292312014998152,0.0,0
4301,"(0.0, 0.0)",0.825178527499811,0.0,0
4401,"(0.0, 0.0)",0.8212872674998067,0.0,0
4501,"(0.0, 0.0)",0.8170585834998022,0.0,0
4601,"(0.0, 0.0)",0.8127970459997977,0.0,0
4701,"(0.0, 0.0)",0.8085080589997931,0.0,0
4801,"(0.0, 0.0)",0.8043171274997886,0.0,0
4901,"(0.0, 0.0)",0.8000331404997839,0.0,0
5001,"(0.0, 0.0)",0.7960612744997796,0.0,0
5101,"(0.0, 0.0)",0.791852792499775,0.0,0
5201,"(0.0, 0.0)",0.7874174924997704,0.0,0
5301,"(0.0, 0.0)",0.7833902224997661,0.0,0
5401,"(0.0, 0.0)",0.7793428514997617,0.0,0
5501,"(0.0, 0.0)",0.7753455814997575,0.0,0
5601,"(0.0, 0.0)",0.7713108619997531,0.0,0
5701,"(0.0, 0.0)",0.7673086929997488,0.0,0
5801,"(0.0, 0.0)",0.7631025594997444,0.0,0
5901,"(0.0, 0.0)",0.75900978449974,0.0,0
6001,"(0.0, 0.0)",0.7549524134997355,0.0,0
6101,"(0.0, 0.0)",0.7509226939997311,0.0,0
6201,"(0.0, 0.0)",0.7468274694997267,0.0,0
6301,"(0.0, 0.0)",0.7423900229997218,0.0,0
6401,"(0.0, 0.0)",0.7381386874997172,0.0,0
